path	lfsoid	lfspointer_size
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/extracted/github.com_niklasrisse_agents-for-szz_archive_refs_heads_main.zip/agents-for-szz-main/data/DS_GITHUB.json	cc0dcd34b815a442eb5a6807bcbb05c1cc3707290f01f024ad6a200f34a93f63	110129
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/extracted/github.com_niklasrisse_agents-for-szz_archive_refs_heads_main.zip/agents-for-szz-main/data/DS_LINUX-26.json	8c904accdded0774f00a59314639710b2c4690da3161c3a6ddf2f17773391255	1533215
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/extracted/github.com_niklasrisse_agents-for-szz_archive_refs_heads_main.zip/agents-for-szz-main/data/DS_LINUX.json	5d8a83b3f52195c9b6650c0b00113494b7879495779a43585745c8d5f1bc9d09	22166529
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/data/DS_GITHUB.json	cc0dcd34b815a442eb5a6807bcbb05c1cc3707290f01f024ad6a200f34a93f63	110129
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/data/DS_LINUX-26.json	8c904accdded0774f00a59314639710b2c4690da3161c3a6ddf2f17773391255	1533215
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/data/DS_LINUX.json	5d8a83b3f52195c9b6650c0b00113494b7879495779a43585745c8d5f1bc9d09	22166529
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/baseline_agszz_20260204_132135.json	34da6ca8346bee23f6d85522c70987c37d0ca2d28877bed47e8623a6fcbeb680	46899
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/baseline_bszz_20260204_123509.json	74e0edd6aae1fcf5065706946b263a9be9f85d6a9e9118f2100db248b72ee25f	46990
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/baseline_llm4szz_20260204_153717.json	7470a4be0143db93636713f03f856761282189b40b9abd40ad2ccfe9f1c220e0	43104
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/baseline_lszz_20260204_132645.json	d13d5b200a390e0f2ac18629e56de7dd0b6649c386289e9672525860a879ff1e	42002
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/baseline_maszz_20260204_143538.json	7e5f0ee26c8f470d335f9c7731fcb7d22beb2edc92a9c697c862e64deb379a45	47151
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/baseline_raszz_20260204_142421.json	f78280c9ad313a642c4f93efab7e55c1b26c4da25e27680b90011d79ec05f133	47151
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/baseline_rszz_20260204_132923.json	2101e58b40789c5ee2efe4a979fe7564c9c012dca71feafe6c160ec5a2987f00	42671
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/baseline_vszz_20260204_142653.json	bf6b54c6a4f5f12430cb7d4ba460a47542a268041719dd90ddbc27e09877f674	47016
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/simple_szz_agent_20260212_201433.json	c44fbc2dc64fdd7b0d63fdd79918b0d6176b0edb22aa832ddbd9457d98bcab14	888259
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/statistical_comparison.json	830b5e39f43a8f9b3c949f3cfd18a9a1c0b372f01a089647d7cd9b4251165180	4465
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/szz_agent_stage_01_20260204_154443.json	66e9adc6a13351f83242bc1c25eba5e9270fca2f401084b59e38b9be5298abbc	122356
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-c/szz_agent_stage_02_20260205_104113.json	1ff0d33782c01c37bd5b698d88049d5daedcf38d4500047c06a4dbde7a3052bf	80776
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/baseline_agszz_20260203_105927.json	1b731aa4b6abd2f24304f4918330ae06a9277a88998ef8b24a57d7f22a88d5cf	37663
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/baseline_bszz_20260203_102549.json	47d173540307c7c5e4d18d84b2cf39f1d387775a748ea4e0bd04ef36c2de8096	37205
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/baseline_llm4szz_20260203_165831.json	fee1a412cf3e96bd8b9a2d9e16e2f00bf1325364ede012cd6d531092788244f0	32393
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/baseline_lszz_20260203_112306.json	0ce2aa5879b6275f8e4df5d4e3044e68ab5d522e0682682996a65a967fd90e65	32091
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/baseline_maszz_20260203_121332.json	51390c7a7d9d7f1bdca501e72602f3f6dcafe81bc4cf93d93fea8c05202407d6	38112
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/baseline_raszz_20260203_163206.json	dcf633d01c96538a16f824071fc84bac6651b36cd9d5e04340db99868fe80ba8	37455
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/baseline_rszz_20260203_114505.json	0c2d350f8052b0f5cefeb308cb6c8e70a24322c900095b07308ebf93d0d56699	32080
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/baseline_vszz_20260203_150807.json	8c589c33d85bb48550c9d2f13a696ee9227d70be56689a1599560c2d8f107783	37829
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/simple_szz_agent_20260212_154210.json	c78f691e14201dd9c49cd23f8a04280c7dc2181d0126551d0bc75158c0131c72	750922
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/statistical_comparison.json	3d642c6bb221f3bc139ebbcec736a6fc661d7df58591ee9958df336ad825aa8d	4654
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/szz_agent_stage_01_20260203_193956.json	0946b3116e36c86c2a6b276fe4aa4e7e75802886c63497df59366f81e7dbb3aa	94629
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_GITHUB-j/szz_agent_stage_02_20260203_211744.json	e2896df99f92f179770886b8e28efc7af082ead9ad28aa8f192331650adb1cba	60773
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_LINUX/baseline_agszz_20260201_201304.json	edc4e8178fee13c837eadb19b3553e4ec04c05c63c12395492664acc6a2e6e9f	91179
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_LINUX/baseline_bszz_20260130_000017.json	1ea4e785be22c40a56c199b92c769faa92333c9aaa40620b4de6eac9536b8d39	91947
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_LINUX/baseline_llm4szz_20260129_231224.json	2c3ac55cb72fd6953524ba93ad66e61125d31cdad6e966a2a612f29967e3afae	86339
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_LINUX/baseline_lszz_20260202_031423.json	01043777b365e9749adb12206d98d4ae904390babf4c54721ccf0afda6d445c5	85026
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_LINUX/baseline_maszz_20260202_023229.json	e8f1369dda7283e5f2424f6ff65c0acd09f1dc182f1f711d9c564e6232167091	92475
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_LINUX/baseline_raszz_20260202_023407.json	6ca0e2d059bd742d0329b24fffa2f4ae7cdb12de602c7b6393f6bd3f87ef2a7a	92475
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_LINUX/baseline_rszz_20260201_202132.json	8e6b3a29f0352f43e4de2d59d3599cd08ff3c9a96deef32a7582da6d1fc76e38	85008
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_LINUX/baseline_vszz_20260129_195617.json	d3baf9048a27c8da120fcfff5bb4f777b56748fee232967c7c4f28bd6bd096b5	90954
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_LINUX/statistical_comparison.json	19d60bfe73b8c53234b2a5981b6058972505e8ed484a405fa22a7823a3edd691	4503
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_LINUX/szz_agent_stage_01_20260129_181135.json	5b849cbf31344814e5fc822adb5890068cead1d0d2d98c734ef32d22522a6ca5	214550
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq1_effectiveness/results/DS_LINUX/szz_agent_stage_02_20260130_125819.json	54d0fb057c52a04a857cf451bb198da89535e829cf1e2dcefca962c051d5c8fd	129137
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/baseline_agszz_20260202_143638.json	f9d4f557e3d3f4f8b232f9ea1d4df0e3b05388576df2334d4ba367f0ae7c18cc	49501
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/baseline_bszz_20260202_143005.json	6edd5e2cc3c84721cd97575e8aa95ff8a23e52410cfd5983f22596ef8f2874db	49491
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/baseline_llm4szz_20260202_184212.json	b70f4ff026b57aaccd2c0e54874c97f4ef61f323967c57ee2807ef428d060523	47215
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/baseline_lszz_20260202_143840.json	964657327069aabb81b00bf417d8c2e8adee91d4346d3634f54d844ae21b7b71	46923
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/baseline_maszz_20260202_171303.json	79117a11ef7f3d87c47371e7bbcec55e98780b61ff0af3cc77db83683aa92a9f	50138
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/baseline_raszz_20260202_171452.json	3a87454ffae9cd958355d527c7b31e6cd5a1d6d578c1631aa5285eb2d35b8c72	50138
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/baseline_rszz_20260202_171026.json	3faa7505a810c9f2ccf4a3348ee28400a0455f3297a124024492a0324786956a	46908
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/baseline_vszz_20260202_175926.json	3c42e7ad7bf23b6ac7da0541543f070fc6593dd0f22733329cc0892cb4cbcf50	48890
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/simple_szz_agent_20260211_212858.json	bdc93c8a771759d2e3fd913e1e65e1cd7c3e451fe4f50bee1eef471f2de591ea	933850
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/statistical_comparison.json	f3b8157b888f823223cc347c9f4f7f1f39bef6e68cf8d96ecda8cd4d7b3845fa	4501
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/szz_agent_stage_01_20260202_111653.json	1a31f3d71e87d4d9890b7cb0b1f8d77be19dde578e78599f979dce1ea403f1a1	109768
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2a_data_leakage/results/szz_agent_stage_02_20260202_194137.json	7e3cefca48243cdd51a08b5307350c501a948c5ba0a6b7b25db09e6fb821188b	67126
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2b_llm_backbone/results/baseline_llm4szz_20260129_231224.json	2c3ac55cb72fd6953524ba93ad66e61125d31cdad6e966a2a612f29967e3afae	86339
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2b_llm_backbone/results/baseline_llm4szz_20260130_111252.json	6a1da42e5a21a210fd89f898bbaa63903662d20c982bc8855f617c4ef9002cb3	86551
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2b_llm_backbone/results/baseline_llm4szz_20260203_125937.json	06c3e0fea2357de63cb86b7c3dee0494b7b4cd602485eae1686d7711214c3ec6	86658
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2b_llm_backbone/results/statistical_comparison.json	d9a3cb1b9e5847adccd82b94f46c7cb4e5d262d780974bf36b53fe4b13298e58	1699
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2b_llm_backbone/results/szz_agent_stage_01_20260129_181135.json	5b849cbf31344814e5fc822adb5890068cead1d0d2d98c734ef32d22522a6ca5	214550
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2b_llm_backbone/results/szz_agent_stage_02_20260130_125819.json	54d0fb057c52a04a857cf451bb198da89535e829cf1e2dcefca962c051d5c8fd	129137
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2c_context_ablation/results/baseline_bszz_20260202_143005.json	6edd5e2cc3c84721cd97575e8aa95ff8a23e52410cfd5983f22596ef8f2874db	49491
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2c_context_ablation/results/szz_agent_stage_01_20260202_111653.json	1a31f3d71e87d4d9890b7cb0b1f8d77be19dde578e78599f979dce1ea403f1a1	109768
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2c_context_ablation/results/szz_agent_stage_01_20260205_190521.json	bc986dc054f1ee29382a331b504a0ddf2295dc08e9b2e778747435915d0f5462	103325
Paper/reference/p25_how_and_why_agents_can_identify_bug_introducing_commits/raw_extraction/artifact_static_snapshot/selected_repo/experiments/rq2c_context_ablation/results/szz_agent_stage_01_20260205_200055.json	93b6bf21aecb10dd6ad79eb03d9e5d12964bdef0c24b650201944e149cd65389	103039
