field_path,occurrences,approx_bytes,file_count,classification,example_files
git_observations[].function_ids,194,38228,30,wrapper_owned_not_model_output,rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json
results[].ingestion_result.details.structural_validation.observation_payloads[].function_ids,191,38222,1,wrapper_owned_not_model_output,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.observation_payloads[].function_ids,191,38222,29,wrapper_owned_not_model_output,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10251/ingestion_result.json
observation_payloads[].function_ids,191,38222,29,wrapper_owned_not_model_output,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10251/structural_validation.json
CVE-2020-13164.release_tag_universe[].predicted_tags,4,37722,2,keep_in_model_view,version10:per_candidate_probe.json | version10:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-13164.release_tag_universe[].reachable_release_tags,4,37722,2,keep_in_model_view,version10:per_candidate_probe.json | version10:per_candidate_probe.json | version30:per_candidate_probe.json
cases.CVE-2020-15466,2,37631,2,keep_in_model_view,version30:schema_diagnostics.json | judge30:fallback_ranked_candidates.json
CVE-2020-13164.diagnostic_all_tags.top1.false_positive_taxonomy,2,37562,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
[].git_observation_refs,463,37480,87,keep_in_model_view,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
[].candidate_id,463,36577,87,wrapper_owned_not_model_output,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
tool_calls[].args,194,35314,30,keep_in_model_view,rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json
cases.CVE-2020-11647,1,34583,1,keep_in_model_view,version30:schema_diagnostics.json
CVE-2020-13164.diagnostic_all_tags[].false_positive_taxonomy.false_positive_predicted_tags,4,34402,2,audit_only,version10:per_candidate_probe.json | version10:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-15466.diagnostic_all_tags.top1,1,34386,1,audit_only,version30:ranking_diagnostics.json
CVE-2020-19667.release_tag_universe,4,34380,4,keep_in_model_view,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
CVE-2020-19667.diagnostic_all_tags,4,34374,4,audit_only,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
git_trace[].operation,2216,34278,117,keep_in_model_view,szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json
CVE-2020-11647.diagnostic_all_tags[].predicted_tags,3,34259,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-11647.diagnostic_all_tags[].diagnostic_all_tags,3,34259,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
patch_evidence[].content.context_lines[].text,1053,34073,29,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json
cases.CVE-2020-13164.all_tags,2,33852,2,keep_in_model_view,version10:schema_diagnostics.json | version30:schema_diagnostics.json
CVE-2020-13904.diagnostic_all_tags[].predicted_tags,24,33185,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-13904.diagnostic_all_tags[].diagnostic_all_tags,24,33185,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
candidates[].change_type,3362,32152,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
results[].ingestion_result.details.structural_validation.packet_index.file_to_hunks,29,31913,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.packet_index.file_to_hunks,29,31913,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
packet_index.file_to_hunks,29,31913,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
cases.CVE-2020-19667,4,31878,4,keep_in_model_view,szz10:provenance_manifest.json | version10:schema_diagnostics.json | version30:schema_diagnostics.json
results[].ingestion_result.details.structural_validation.fix_predicate_results,29,31783,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.fix_predicate_results,29,31783,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
fix_predicate_results,29,31783,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
CVE-2022-0322,2,31781,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
CVE-2020-11647.diagnostic_all_tags.top1,1,31095,1,audit_only,version30:ranking_diagnostics.json
CVE-2020-13164.release_tag_universe[].false_positive_taxonomy,4,30908,2,audit_only,version10:per_candidate_probe.json | version10:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-13164.diagnostic_all_tags.topk,2,30794,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
results[].ingestion_result.details.structural_validation.packet_index.function_to_hunks,29,30728,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.packet_index.function_to_hunks,29,30728,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
packet_index.function_to_hunks,29,30728,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
candidates[].diagnostic.false_positive_taxonomy.false_positive_predicted_tags,79,30595,29,audit_only,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10702/judge_audit_packet.json
CVE-2020-11947,2,30589,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
[].line_text_sha256,463,30558,87,wrapper_owned_not_model_output,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
[].fix_commit_id,506,30474,96,keep_in_model_view,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
CVE-2020-13164.diagnostic_all_tags.top1.predicted_tags,2,30368,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
CVE-2020-13164.diagnostic_all_tags.top1.diagnostic_all_tags,2,30368,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
CVE-2020-13164.diagnostic_all_tags.topk.predicted_tags,2,30368,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
results[].ingestion_result.details.structural_validation.vulnerable_predicate_results,29,29986,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.vulnerable_predicate_results,29,29986,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
vulnerable_predicate_results,29,29986,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
CVE-2020-13904.release_tag_universe[].predicted_tags,24,29529,1,keep_in_model_view,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-13904.release_tag_universe[].reachable_release_tags,24,29529,1,keep_in_model_view,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-1971.release_tag_universe,2,29486,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
candidates[].blame_trace.line_provenance[].anchor_id,314,29102,60,wrapper_owned_not_model_output,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_blind_input_packet.json
CVE-2022-0286,4,28432,4,keep_in_model_view,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
cases.CVE-2020-1967,3,27891,3,keep_in_model_view,szz10:provenance_manifest.json | version10:schema_diagnostics.json | version30:schema_diagnostics.json
[].patch_family_id,506,27830,96,wrapper_owned_not_model_output,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
CVE-2022-0322.diagnostic_all_tags,2,27737,2,audit_only,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
cases.CVE-2022-0171,3,27632,3,keep_in_model_view,szz10:provenance_manifest.json | version10:schema_diagnostics.json | version30:schema_diagnostics.json
cases.CVE-2022-0286,3,27576,3,keep_in_model_view,szz10:provenance_manifest.json | version10:schema_diagnostics.json | version30:schema_diagnostics.json
CVE-2020-25663,2,27437,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
CVE-2020-13164.diagnostic_all_tags.oracle,2,27424,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
CVE-2020-13164.diagnostic_all_tags.oracle.predicted_tags,2,26612,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
patch_evidence[].content.function_context,391,25494,29,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json
candidates[].candidate_ids,141,25434,60,wrapper_owned_not_model_output,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_blind_input_packet.json
cases.CVE-2020-13904.all_ranked_candidates,1,25350,1,keep_in_model_view,judge30:fallback_ranked_candidates.json
cases.CVE-2020-14212,4,25330,4,keep_in_model_view,szz10:provenance_manifest.json | version10:schema_diagnostics.json | version30:schema_diagnostics.json
context,30,25064,30,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json | rootcause30:CVE-2020-11647/root_cause_packet.json
candidates[].blame_trace.line_provenance[].candidate_id,314,24806,60,wrapper_owned_not_model_output,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_blind_input_packet.json
CVE-2022-0171.diagnostic_all_tags.top1,2,24678,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
CVE-2020-8231.release_tag_universe,4,24156,4,keep_in_model_view,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
CVE-2020-8231.diagnostic_all_tags,4,24147,4,audit_only,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
CVE-2020-15466.diagnostic_all_tags[].false_positive_taxonomy,2,24116,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json
patch_evidence[].content.added_lines[].text,565,24053,29,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json
resolved_anchors[].rationale,81,24048,31,keep_in_model_view,szz10:CVE-2020-11869/contract_lint.json | szz10:CVE-2020-11869/contract_lint.json | szz10:CVE-2020-11869/contract_lint.json
CVE-2020-10251,2,23804,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
patch_evidence[].content.function_id,314,23785,29,wrapper_owned_not_model_output,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json
cases.CVE-2022-0171.all_tags,2,23680,2,keep_in_model_view,version10:schema_diagnostics.json | version30:schema_diagnostics.json
cases.CVE-2022-0286.all_tags,2,23680,2,keep_in_model_view,version10:schema_diagnostics.json | version30:schema_diagnostics.json
cases.CVE-2020-13164.release_tag_universe,2,23514,2,keep_in_model_view,version10:schema_diagnostics.json | version30:schema_diagnostics.json
patch_evidence[].source_refs[].ref,428,23513,30,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json
CVE-2020-11947.diagnostic_all_tags,2,23459,2,audit_only,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
[].line_text,463,23070,87,keep_in_model_view,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
candidates[].diagnostic.false_positive_taxonomy.conversion_likely_problem,79,22765,29,audit_only,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10702/judge_audit_packet.json
CVE-2020-15389,4,22626,4,keep_in_model_view,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
CVE-2020-11647.diagnostic_all_tags[].false_positive_taxonomy.false_positive_predicted_tags,3,22495,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
fix_predicates,29,22131,29,keep_in_model_view,rootcause30:CVE-2020-10251/parsed_output.json | rootcause30:CVE-2020-10702/parsed_output.json | rootcause30:CVE-2020-11647/parsed_output.json
CVE-2020-11647.release_tag_universe[].predicted_tags,3,21837,1,keep_in_model_view,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-11647.release_tag_universe[].reachable_release_tags,3,21837,1,keep_in_model_view,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-11869,4,21353,4,keep_in_model_view,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
CVE-2022-0185,2,21205,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
vulnerable_predicates,29,21076,29,keep_in_model_view,rootcause30:CVE-2020-10251/parsed_output.json | rootcause30:CVE-2020-10702/parsed_output.json | rootcause30:CVE-2020-11647/parsed_output.json
CVE-2022-0286.diagnostic_all_tags,4,20863,4,audit_only,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
candidates[].repo_id,2379,20758,77,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
candidates[].blame_trace.line_provenance[].line_text_sha256,314,20724,60,wrapper_owned_not_model_output,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_blind_input_packet.json
CVE-2020-13164.release_tag_universe.topk,2,20682,2,keep_in_model_view,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
CVE-2020-11647.release_tag_universe[].false_positive_taxonomy,3,20611,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-13164.release_tag_universe.top1.predicted_tags,2,20256,2,keep_in_model_view,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
CVE-2020-13164.release_tag_universe.top1.reachable_release_tags,2,20256,2,keep_in_model_view,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
CVE-2020-13164.release_tag_universe.topk.predicted_tags,2,20256,2,keep_in_model_view,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
cases.CVE-2020-1971,2,20147,2,keep_in_model_view,version30:schema_diagnostics.json | judge30:fallback_ranked_candidates.json
CVE-2021-23840.release_tag_universe,2,20035,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
cases.CVE-2022-0433,2,20030,2,keep_in_model_view,version30:schema_diagnostics.json | judge30:fallback_ranked_candidates.json
CVE-2020-11984,4,19868,4,keep_in_model_view,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
patch_evidence[].content.deleted_lines,156,19660,29,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json
root_cause_hypotheses[].mechanism,30,19659,29,keep_in_model_view,rootcause30:CVE-2020-10251/parsed_output.json | rootcause30:CVE-2020-10702/parsed_output.json | rootcause30:CVE-2020-11647/parsed_output.json
[].fix_commit_sha,463,19446,87,wrapper_owned_not_model_output,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
[].parent_sha,463,19446,87,wrapper_owned_not_model_output,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
candidate_commits[].anchor_ids,103,19270,40,keep_in_model_view,szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11984/blame_trace.json
[].anchor_ids,103,19270,40,keep_in_model_view,szz10:CVE-2020-11869/candidate_commits.json | szz10:CVE-2020-11869/candidate_commits.json | szz10:CVE-2020-11984/candidate_commits.json
CVE-2020-13164.diagnostic_all_tags[].false_positive_taxonomy.non_release_tag_noise,4,19258,2,audit_only,version10:per_candidate_probe.json | version10:per_candidate_probe.json | version30:per_candidate_probe.json
candidate_commits[].line_provenance[].anchor_id,207,18856,40,replace_with_ref,szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json
[].line_provenance[].anchor_id,207,18856,40,replace_with_ref,szz10:CVE-2020-11869/candidate_commits.json | szz10:CVE-2020-11869/candidate_commits.json | szz10:CVE-2020-11869/candidate_commits.json
CVE-2020-15466.release_tag_universe.top1,1,18825,1,keep_in_model_view,version30:ranking_diagnostics.json
propagation,72,18646,72,keep_in_model_view,szz10:CVE-2020-11869/parsed_selection.json | szz10:CVE-2020-11869/parsed_szz_handoff.json | szz10:CVE-2020-11984/parsed_selection.json
CVE-2020-13164.diagnostic_all_tags.top1.false_positive_taxonomy.false_positive_predicted_tags,2,18628,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
CVE-2020-13164.release_tag_universe.oracle,2,18280,2,keep_in_model_view,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
CVE-2020-1971.diagnostic_all_tags.top1,1,18270,1,audit_only,version30:ranking_diagnostics.json
patch_evidence[].content.commit_sha,428,17976,30,wrapper_owned_not_model_output,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10251/root_cause_packet.json
CVE-2020-11647.release_tag_universe.top1,1,17865,1,keep_in_model_view,version30:ranking_diagnostics.json
uncertainty_reasons,29,17857,29,keep_in_model_view,rootcause30:CVE-2020-10251/parsed_output.json | rootcause30:CVE-2020-10702/parsed_output.json | rootcause30:CVE-2020-11647/parsed_output.json
results[].ingestion_result.details.structural_validation.trusted_observations.obs-git-show-unified-63a0a87efa09,1,17834,1,keep_in_model_view,rootcause30:summary.json
details.structural_validation.trusted_observations.obs-git-show-unified-63a0a87efa09,1,17834,1,keep_in_model_view,rootcause30:CVE-2020-11993/ingestion_result.json
trusted_observations.obs-git-show-unified-63a0a87efa09,1,17834,1,keep_in_model_view,rootcause30:CVE-2020-11993/structural_validation.json
CVE-2022-0185.diagnostic_all_tags,2,17721,2,audit_only,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
cases.CVE-2020-1967.all_tags,2,17670,2,keep_in_model_view,version10:schema_diagnostics.json | version30:schema_diagnostics.json
cases.CVE-2020-11869,3,17643,3,keep_in_model_view,szz10:provenance_manifest.json | version10:schema_diagnostics.json | version30:schema_diagnostics.json
results[].ingestion_result.details.structural_validation.trusted_observations.obs-git-show-stat-63a0a87efa09,1,17574,1,keep_in_model_view,rootcause30:summary.json
details.structural_validation.trusted_observations.obs-git-show-stat-63a0a87efa09,1,17574,1,keep_in_model_view,rootcause30:CVE-2020-11993/ingestion_result.json
trusted_observations.obs-git-show-stat-63a0a87efa09,1,17574,1,keep_in_model_view,rootcause30:CVE-2020-11993/structural_validation.json
CVE-2020-13164.release_tag_universe.oracle.predicted_tags,2,17466,2,keep_in_model_view,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
CVE-2020-13164.release_tag_universe.top1.false_positive_taxonomy,2,17342,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
cases.CVE-2020-11647.all_tags,1,16926,1,keep_in_model_view,version30:schema_diagnostics.json
cases.CVE-2020-15466.all_tags,1,16926,1,keep_in_model_view,version30:schema_diagnostics.json
tool_calls[].command,194,16903,30,keep_in_model_view,rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json
CVE-2020-15466.diagnostic_all_tags[].predicted_tags,2,16845,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json
CVE-2020-15466.diagnostic_all_tags[].diagnostic_all_tags,2,16845,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json
candidates[].generated_file,3362,16810,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
candidates[].blank_line,3362,16810,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
candidates[].documentation_file,3362,16809,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
candidates[].test_file,3362,16792,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
candidates[].changelog_file,3362,16777,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
candidate_commits[].candidate_ids,103,16767,40,wrapper_owned_not_model_output,szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11984/blame_trace.json
[].candidate_ids,103,16767,40,wrapper_owned_not_model_output,szz10:CVE-2020-11869/candidate_commits.json | szz10:CVE-2020-11869/candidate_commits.json | szz10:CVE-2020-11984/candidate_commits.json
cases.CVE-2020-8231,3,16651,3,keep_in_model_view,szz10:provenance_manifest.json | version10:schema_diagnostics.json | version30:schema_diagnostics.json
candidates[].comment_only,3362,16454,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
[].uncertainty_reasons,543,16409,117,keep_in_model_view,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
line_records[].anchor_id,182,16406,40,keep_in_model_view,szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json
candidates[].diagnostic.source_anchor.rationale,80,16399,30,audit_only,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10702/judge_audit_packet.json
candidates[].diagnostic.source_candidate.anchor_ids,80,16365,30,audit_only,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10702/judge_audit_packet.json
candidate_commits[].line_provenance[].candidate_id,207,16353,40,wrapper_owned_not_model_output,szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json | szz10:CVE-2020-11869/blame_trace.json
[].line_provenance[].candidate_id,207,16353,40,wrapper_owned_not_model_output,szz10:CVE-2020-11869/candidate_commits.json | szz10:CVE-2020-11869/candidate_commits.json | szz10:CVE-2020-11869/candidate_commits.json
candidates[].diagnostic.source_candidate.line_provenance[].anchor_id,172,16021,30,audit_only,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10702/judge_audit_packet.json
fix_mechanism,72,15764,72,keep_in_model_view,szz10:CVE-2020-11869/parsed_selection.json | szz10:CVE-2020-11869/parsed_szz_handoff.json | szz10:CVE-2020-11984/parsed_selection.json
CVE-2021-23840.diagnostic_all_tags[].false_positive_taxonomy,2,15712,1,audit_only,version30:per_candidate_probe.json | version30:per_candidate_probe.json
results[].ingestion_result.details.structural_validation.packet_index.patch_hunks.patch-hunk:wireshark:11f40896b696e4e8c7f8b2ad96028404a83a51a4:epan/dissectors/packet-gvcp.c:1,1,15420,1,wrapper_owned_not_model_output,rootcause30:summary.json
details.structural_validation.packet_index.patch_hunks.patch-hunk:wireshark:11f40896b696e4e8c7f8b2ad96028404a83a51a4:epan/dissectors/packet-gvcp.c:1,1,15420,1,wrapper_owned_not_model_output,rootcause30:CVE-2020-15466/ingestion_result.json
packet_index.patch_hunks.patch-hunk:wireshark:11f40896b696e4e8c7f8b2ad96028404a83a51a4:epan/dissectors/packet-gvcp.c:1,1,15420,1,wrapper_owned_not_model_output,rootcause30:CVE-2020-15466/structural_validation.json
results[].ingestion_result.details.structural_validation.packet_index.patch_hunks.patch-hunk:httpd:63a0a87efa0925514d15c211b508f6594669888c:modules/http2/h2_mplx.h:81,1,15215,1,keep_in_model_view,rootcause30:summary.json
