cve_id,candidate_commit_sha,risk_flags,confidence_features,suitable_for_judge_v0
CVE-2020-10251,8c69a644b1a32dd032541d123d232003f05887f8,move_copy_sensitive_blame;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch,False
CVE-2020-10251,f6cad26b6004600b64093c9a135fbc42d49b6806,candidate_in_fix_series_hint;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-10702,990870b205ddfdba3fd3c1321e6083005ef59d1a,non_release_tag_noise;release_line_overreach,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2020-11647,01f7356f85d33567a25e722e6488addd72ff64d4,add_only_semantic_anchor;non_release_tag_noise;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-11647,63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,add_only_semantic_anchor;move_copy_sensitive_blame;non_release_tag_noise;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch,False
CVE-2020-11647,809fb769b4b903c1f1e003dcd24e7ab1b15402e8,add_only_semantic_anchor;candidate_in_fix_series_hint;non_release_tag_noise;release_line_overreach;release_reachability_too_broad;whitespace_sensitive_blame,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch,False
CVE-2020-11869,584acf34cb05f16e13a46d666196a7583d232616,candidate_in_fix_series_hint;non_release_tag_noise;release_line_overreach,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2020-11869,862b4a291dcf143fdb227e97feb7fd45e6466aca,non_release_tag_noise;release_line_overreach,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2020-11947,983924532f61091fd90d1f2fafa4aa938c414dbb,non_release_tag_noise;release_reachability_too_broad,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-11984,99c59e098103ccf13b833281ec08493e042dfee0,non_release_tag_noise,candidate_ancestor_of_fix;dangerous_use_role;direct_old_side_anchor;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2020-11984,23394f444cc73d6b01af5a8109f79c156a26607c,non_release_tag_noise,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2020-11984,da54e90ddaa01c02a68fda8dc08004c97cb4aa2b,non_release_tag_noise;whitespace_sensitive_blame,candidate_ancestor_of_fix;dangerous_use_role;direct_old_side_anchor;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch,True
CVE-2020-11985,f3f2abdb9eddec36f839ce870a32f6d6916fe49d,release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-11993,c671673db96e286e2321d5babf05c767cb76a1ef,candidate_in_fix_series_hint;move_copy_sensitive_blame;non_release_tag_noise,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch,False
CVE-2020-12284,525de2000b018c659c5dd472610305cb2ffb9edc,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-13164,354b4b74d08fbafe23c7929f1f68eb4c84df4e2f,non_release_tag_noise;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;stable_blame_variants,False
CVE-2020-13164,c38eb2f027ace5a85007fb67084d2fa927467540,non_release_tag_noise;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-13904,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;stable_blame_variants,False
CVE-2020-13904,84465f2180308a3e998089517e76586563fd6162,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;direct_old_side_anchor;line_survives_to_fix_parent;root_cause_predicate_bound;stable_blame_variants,False
CVE-2020-13904,9371d70bad2eab6c95df7d182d08e1cc53c6099a,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-13904,cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;direct_old_side_anchor;line_survives_to_fix_parent;root_cause_predicate_bound;stable_blame_variants,False
CVE-2020-13904,4e0860e36305c768c3d97b41d38122e59a18da87,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-14212,2558e62713ebc5f3ea22c1a28d8e9cf3249badaf,fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-14212,f73cc61bf5aa383048979f4de2023877c522f6be,fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-14212,ffa1561608f513b3a5d3d1568f75126f21bce663,fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-15389,055d429ae11ad98dfd3dc68d188ec538588d805c,non_release_tag_noise;whitespace_sensitive_blame,candidate_ancestor_of_fix;direct_old_side_anchor;line_survives_to_fix_parent;root_cause_predicate_bound,True
CVE-2020-15389,028088f5f077b6cc666f8152736398df68ec239b,non_release_tag_noise;whitespace_sensitive_blame,candidate_ancestor_of_fix;direct_old_side_anchor;line_survives_to_fix_parent;root_cause_predicate_bound,True
CVE-2020-15389,27e255fa75b7b9e989de3ec379c9de2b7462983b,non_release_tag_noise;whitespace_sensitive_blame,candidate_ancestor_of_fix;direct_old_side_anchor;line_survives_to_fix_parent;root_cause_predicate_bound,True
CVE-2020-15466,babe895d3a0d16346c500e397661c3fc580ee7e6,fallback_candidate;move_copy_sensitive_blame;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding;whitespace_sensitive_blame,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch,False
CVE-2020-15466,e7e4dc5d98869f91af3e649324d726217b2a8861,candidate_in_fix_series_hint;fallback_candidate;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding;whitespace_sensitive_blame,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch,False
CVE-2020-19667,bd45f324084453a2fb279c5c9b5c5c075bce2904,add_only_semantic_anchor;fallback_candidate;no_model_anchor;release_reachability_too_broad;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-19667,e7538ca05d229be42443bb927dbc4c8c8f1fc856,add_only_semantic_anchor;candidate_in_fix_series_hint;fallback_candidate;no_model_anchor;release_reachability_too_broad;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-19667,3ed852eea50f9d4cd633efb8c2b054b8e33c2530,add_only_semantic_anchor;boundary_candidate_commit;broad_candidate_range;fallback_candidate;no_model_anchor;release_reachability_too_broad;weak_root_cause_binding;whitespace_sensitive_blame,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound,False
CVE-2020-1967,604ba26560ca71bf8a1c127da96727b5b2b077e1,candidate_in_fix_series_hint,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2020-1971,c7235be6e36c4bef84594aa3b2f0561db84b63d8,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding;whitespace_sensitive_blame,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch,False
CVE-2020-1971,f4cc56f494b3f42642ea3b322e57737da80f889a,fallback_candidate;no_model_anchor;non_release_tag_noise;release_reachability_too_broad;weak_root_cause_binding;whitespace_sensitive_blame,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch,False
CVE-2020-25663,7894d4a8920a7ee8f292b9c9b4bfc7b722bfcb83,add_only_semantic_anchor;boundary_candidate_commit;move_copy_sensitive_blame;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;same_file_touch,False
CVE-2020-25663,8ed707a93fc4c7b3193dd562f07c4a1cc63cc19d,move_copy_sensitive_blame;release_line_overreach,candidate_ancestor_of_fix;direct_old_side_anchor;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch,False
CVE-2020-27814,649298dcf84b2f20cfe458d887c1591db47372a6,candidate_in_fix_series_hint;fallback_candidate;no_model_anchor;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-27823,563bd8499e63db976ca8358216138647593354bc,,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2020-8169,46e164069d1a5230e4e64cbd2ff46c46cce056bb,fallback_candidate;no_model_anchor;weak_root_cause_binding,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-8169,2c5ec339ea67f43ac370ae77636a0f915cc5fbeb,add_only_semantic_anchor;fallback_candidate;no_model_anchor;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-8169,a97d826f6de35372563ca47087bd53ce837fe21e,add_only_semantic_anchor;fallback_candidate;no_model_anchor;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-8169,fb723fd9d1d2c1acb46e7980b4b35a5fb4d7c355,add_only_semantic_anchor;candidate_in_fix_series_hint;fallback_candidate;no_model_anchor;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-8177,4dc8499494dc16bf336c1055f2ae4b78c709c87d,add_only_semantic_anchor;candidate_in_fix_series_hint;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;same_file_touch;stable_blame_variants,False
CVE-2020-8177,6b6ba1dc29857f5eb4c31fed3d63619fea99d5f4,,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2020-8177,c1c27625c797cfb7b21128484b4990446c1e92d9,,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2020-8231,d021f2e8a0067fc769652f27afec9024c0d02b3d,release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2020-8231,07cb27c98e92649e74a312faf976271fa7da609c,candidate_in_fix_series_hint;whitespace_sensitive_blame,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch,True
CVE-2021-23840,be06a9348d83187071270a29aabfe10cc3904f85,add_only_semantic_anchor;non_release_tag_noise;release_line_overreach;release_reachability_too_broad,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2021-23840,fa75ee1aecda0da96216440aa4ea91d4a17e8244,add_only_semantic_anchor;non_release_tag_noise;release_line_overreach,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2022-0171,f922bd9bf33bd5a8c6694927f010f32127810fbf,add_only_semantic_anchor;move_copy_sensitive_blame;non_release_tag_noise,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch,False
CVE-2022-0171,8931a454aea03bab21b3b8fcdc94f674eebd1c5d,non_release_tag_noise,candidate_ancestor_of_fix;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2022-0185,3e1aeb00e6d132efc151dacc062b38269bc9eccc,non_release_tag_noise,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2022-0264,37086bfdc737ea6f66bf68dcf16757004d68e1e1,non_release_tag_noise,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2022-0286,bdfd2d1fa79acd03e18d1683419572f3682b39fd,add_only_semantic_anchor;non_release_tag_noise,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,True
CVE-2022-0286,f548a476268d621846bb0146af861bb56250ae37,add_only_semantic_anchor;move_copy_sensitive_blame;non_release_tag_noise,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch,False
CVE-2022-0322,cc16f00f6529aa2378f2b949a6f68e9dc6dec363,non_release_tag_noise;release_reachability_too_broad,candidate_ancestor_of_fix;dangerous_use_role;line_survives_to_fix_parent;modified_old_side_anchor;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2022-0433,6fdc348006fe2c8f0765f6eecf2e3cbab06c60b5,add_only_semantic_anchor;candidate_in_fix_series_hint;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2022-0433,9330986c03006ab1d33d243b7cfe598a7a3c1baa,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
CVE-2022-0433,ad10c381d133d9f786564bff4b223be1372f6c2a,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,candidate_ancestor_of_fix;line_survives_to_fix_parent;root_cause_predicate_bound;same_file_touch;stable_blame_variants,False
