cve_id,candidate_id,source_lane,side,revision_sha,old_line_hint,old_status,old_actual_text,old_exact_text_match,old_normalized_text_match,old_comment_or_blank,new_relocation_status,new_selected_path,new_relocated_line,new_match_kind,new_relation_to_anchor,new_matched_text,new_evidence_ref_count
CVE-2020-11647,pre-fix-line:621c3ba57093f96bb40f689abf99bfd08e12935484a28d4425302ddf543e6438,strong,parent,b776707af540d7431e815818e21ea1efac326d9f,14074,not_found,,False,False,False,ambiguous,,,unavailable,unknown,,0
CVE-2020-11647,pre-fix-line:621c3ba57093f96bb40f689abf99bfd08e12935484a28d4425302ddf543e6438,strong,candidate,01f7356f85d33567a25e722e6488addd72ff64d4,14074,not_found,,False,False,False,found,epan/dissectors/packet-bacapp.c,10797,blame_coordinate_verified,same_statement,static int,1
CVE-2020-11647,pre-fix-line:1021db2626542faddcf7bd535202532487e758f6a0ae59c25681f489e97f5a88,strong,parent,1f807cc26a675952bb36f594731d9a7458f166b9,7990,found,"			offset += fTagHeaderTree (tvb, tree, offset, &tag_no, &tag_info, &lvt);",False,False,False,found,epan/dissectors/packet-bacapp.c,6753,normalized_unique,same_statement,"		while (tvb_reported_length_remaining(tvb, offset) > 0) {  /* exit loop if nothing happens inside */",1
CVE-2020-11647,pre-fix-line:1021db2626542faddcf7bd535202532487e758f6a0ae59c25681f489e97f5a88,strong,candidate,63e31768817d2cfdbaeba77f73c85f5eb98dd1ff,7990,found,        case 2:,False,False,False,found,epan/dissectors/packet-bacapp.c,6346,blame_coordinate_verified,same_statement,"    while (tvb_reported_length_remaining(tvb, offset) > 0) {  /* exit loop if nothing happens inside */",1
CVE-2020-11647,pre-fix-line:963caef4d423e31d032535d30db5320e09ef77a739c2ccdefe5855b706593487,strong,parent,0ff1dd714271d808c462afaa2fc9b313a8efa2b0,7972,not_found,,False,False,False,not_found,,,unavailable,unknown,,0
CVE-2020-11647,pre-fix-line:963caef4d423e31d032535d30db5320e09ef77a739c2ccdefe5855b706593487,strong,candidate,809fb769b4b903c1f1e003dcd24e7ab1b15402e8,7972,not_found,,False,False,False,not_found,,,unavailable,unknown,,0
CVE-2020-13904,pre-fix-line:02183be7a8cd9b3868eef1d3c1081242f980cf85a5befda2723d4557b9004400,fallback,parent,d3964da2c2d5e92b555a89e9650ad5e6c1d10010,1634,path_missing,,False,False,False,absent_by_event,,,diff_hunk_mapped,introduced_in_candidate,,1
CVE-2020-13904,pre-fix-line:02183be7a8cd9b3868eef1d3c1081242f980cf85a5befda2723d4557b9004400,fallback,candidate,6cc7f1398257d4ffa89f79d52f10b2cabd9ad232,1634,path_missing,,False,False,False,found,libavformat/applehttp.c,384,exact_hash,introduced_in_candidate,"                                    NULL, 0, 0);",1
CVE-2020-13904,pre-fix-line:0212df27dff8436a9635c5c2b67af43e482b17e54c8d835a002e7b64cf3f33f9,fallback,parent,6e4f70a8de69884ce0caa8735d7a88915b4391d4,874,path_missing,,False,False,False,path_missing,,,unavailable,unknown,,0
CVE-2020-13904,pre-fix-line:0212df27dff8436a9635c5c2b67af43e482b17e54c8d835a002e7b64cf3f33f9,fallback,candidate,84465f2180308a3e998089517e76586563fd6162,874,path_missing,,False,False,False,path_missing,,,unavailable,unknown,,0
CVE-2020-13904,pre-fix-line:00df78cbf490f771e8e032a5947b9d72d89dec748867aff3cbf303b50c622abd,fallback,parent,857841c1b63bf3ffacef03da2bd6275d55ead769,1633,not_found,,False,False,False,absent_by_event,,,diff_hunk_mapped,introduced_in_candidate,,1
CVE-2020-13904,pre-fix-line:00df78cbf490f771e8e032a5947b9d72d89dec748867aff3cbf303b50c622abd,fallback,candidate,9371d70bad2eab6c95df7d182d08e1cc53c6099a,1633,not_found,,False,False,False,found,libavformat/hls.c,632,exact_hash,introduced_in_candidate,"        ret = av_probe_input_buffer(&pls->pb, &in_fmt, pls->segments[0]->url,",1
CVE-2020-13904,pre-fix-line:0002f876f690452bb4401c02c7e8701cc5f7eb36c88f5eccd0f2b611ddcb2838,fallback,parent,e55ebcc3f6cf1f00ffd56ef0f357dc8010c6e046,851,path_missing,,False,False,False,absent_by_event,,,diff_hunk_mapped,introduced_in_candidate,,1
CVE-2020-13904,pre-fix-line:0002f876f690452bb4401c02c7e8701cc5f7eb36c88f5eccd0f2b611ddcb2838,fallback,candidate,cd223e0b4e1371d12d6cbb36bb66afdc40fd6281,851,path_missing,,False,False,False,found,libavformat/applehttp.c,224,exact_hash,introduced_in_candidate,"        } else if (av_strstart(line, ""#"", NULL)) {",1
CVE-2020-13904,pre-fix-line:0008c6bffbde88d7382eb138aad9bb4d426b586bac7abdffae88b3c77895a821,fallback,parent,cc61466058ef1689f98067a81d5d4706dac7544a,1874,found,        struct playlist *pls = c->playlists[i];,False,False,False,absent_by_event,,,diff_hunk_mapped,introduced_in_candidate,,1
CVE-2020-13904,pre-fix-line:0008c6bffbde88d7382eb138aad9bb4d426b586bac7abdffae88b3c77895a821,fallback,candidate,4e0860e36305c768c3d97b41d38122e59a18da87,1874,found,,False,False,True,found,libavformat/hls.c,1821,exact_hash,introduced_in_candidate,                pls->broken = 1;,1
CVE-2020-15389,pre-fix-line:0ea454a1d32a8accab5d75eaacde919394251cbc5ded6ad427ef6039f1f94c88,strong,parent,8231897b26096be299ef6f33ff7d5f42b45106d5,1320,path_missing,,False,False,False,absent_by_event,,,diff_hunk_mapped,introduced_in_candidate,,1
CVE-2020-15389,pre-fix-line:0ea454a1d32a8accab5d75eaacde919394251cbc5ded6ad427ef6039f1f94c88,strong,candidate,055d429ae11ad98dfd3dc68d188ec538588d805c,1320,path_missing,,False,False,False,found,applications/codec/j2k_to_image.c,671,normalized_unique,introduced_in_candidate,	opj_stream_t *l_stream = NULL;				/* Stream */,1
CVE-2020-15389,pre-fix-line:f4d42045cc6be879ba8636fb2db25ab344059f1a547ac99372842835a09c1088,strong,parent,21178c3571a74bb84c39055347210970c1c76666,1322,path_missing,,False,False,False,absent_by_event,,,diff_hunk_mapped,introduced_in_candidate,,1
CVE-2020-15389,pre-fix-line:f4d42045cc6be879ba8636fb2db25ab344059f1a547ac99372842835a09c1088,strong,candidate,028088f5f077b6cc666f8152736398df68ec239b,1322,path_missing,,False,False,False,found,applications/codec/j2k_to_image.c,582,normalized_unique,introduced_in_candidate,	opj_codestream_index_t* cstr_index = NULL;,1
CVE-2020-15389,pre-fix-line:c9ee81f750531856ab36bc07e48b1459c0467235001c1784bd102942543a1344,strong,parent,195190b6121e53ee754132adc073409433482fde,1319,path_missing,,False,False,False,found,applications/codec/j2k_to_image.c,576,context_fingerprint,structurally_changed,,1
CVE-2020-15389,pre-fix-line:c9ee81f750531856ab36bc07e48b1459c0467235001c1784bd102942543a1344,strong,candidate,27e255fa75b7b9e989de3ec379c9de2b7462983b,1319,path_missing,,False,False,False,ambiguous,,,unavailable,unknown,,0
CVE-2020-15466,pre-fix-line:075d41e59f9ffab0041bcbb00e782d362b23312935c4c9d9d831f7ff15768d28,fallback,parent,662e4bd55603530e8542bf25ccde79a5f7750e27,2035,not_found,,False,False,False,absent_by_event,,,diff_hunk_mapped,introduced_in_candidate,,1
CVE-2020-15466,pre-fix-line:075d41e59f9ffab0041bcbb00e782d362b23312935c4c9d9d831f7ff15768d28,fallback,candidate,babe895d3a0d16346c500e397661c3fc580ee7e6,2035,found,	{,False,False,False,found,epan/dissectors/packet-gvcp.c,1707,exact_hash,introduced_in_candidate,			else if ((eventid >= 0x8001) && (eventid <= 0x8FFF)),1
CVE-2020-15466,pre-fix-line:052466e16eaa6922c3ddcaa51b3b9d824fd1ea6a1ec086d6bf79d93c78a4e366,fallback,parent,74936320a43c18a2ad538c8235e410f4912f6e4c,2020,found,,False,False,True,absent_by_event,,,diff_hunk_mapped,introduced_in_candidate,,1
CVE-2020-15466,pre-fix-line:052466e16eaa6922c3ddcaa51b3b9d824fd1ea6a1ec086d6bf79d93c78a4e366,fallback,candidate,e7e4dc5d98869f91af3e649324d726217b2a8861,2020,found,			{,False,False,False,found,epan/dissectors/packet-gvcp.c,1821,normalized_unique,introduced_in_candidate,		if (extendedblockids),1
CVE-2020-8231,pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a,strong,parent,ca5f4e21357a0b4a55e7a2a0f71e632442723989,1397,not_found,,False,False,False,absent_by_event,,,diff_hunk_mapped,introduced_in_candidate,,1
CVE-2020-8231,pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a,strong,candidate,d021f2e8a0067fc769652f27afec9024c0d02b3d,1397,not_found,,False,False,False,found,lib/connect.c,1135,exact_hash,introduced_in_candidate,    struct connectdata *c = data->state.lastconnect;,1
CVE-2020-8231,pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8,strong,parent,85f0133ea14f411b4dae9c6239c83a67ca7bca89,680,found,"    /* When this handle gets removed, other handles may be able to get the",False,False,True,found,lib/multi.c,627,exact_hash,same_statement,      data->state.lastconnect = conn;,1
CVE-2020-8231,pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8,strong,candidate,07cb27c98e92649e74a312faf976271fa7da609c,680,found,,False,False,True,found,lib/multi.c,605,exact_hash,same_statement,      data->state.lastconnect = conn;,1
CVE-2022-0185,pre-fix-line:b28ae8cb98ddc3442c651c162b27ed04e9bbf0bcf6f699cfa08714fa7d86eb21,strong,parent,846e56621897a63966b7f03a70be29060394c363,551,not_found,,False,False,False,absent_by_event,,,diff_hunk_mapped,introduced_in_candidate,,1
CVE-2022-0185,pre-fix-line:b28ae8cb98ddc3442c651c162b27ed04e9bbf0bcf6f699cfa08714fa7d86eb21,strong,candidate,3e1aeb00e6d132efc151dacc062b38269bc9eccc,551,not_found,,False,False,False,found,fs/fs_context.c,429,exact_hash,introduced_in_candidate,	if (len > PAGE_SIZE - 2 - size),1
CVE-2022-0322,pre-fix-line:f14a25fb1b360c1ba225183da1499b5f60aa4dce90ea9637a4bb3ba375d13817,strong,parent,b16ed2b1d0eee0425037a159e5d99fa4b6535921,3700,not_found,,False,False,False,absent_by_event,,,diff_hunk_mapped,introduced_in_candidate,,1
CVE-2022-0322,pre-fix-line:f14a25fb1b360c1ba225183da1499b5f60aa4dce90ea9637a4bb3ba375d13817,strong,candidate,cc16f00f6529aa2378f2b949a6f68e9dc6dec363,3700,not_found,,False,False,False,found,net/sctp/sm_make_chunk.c,3612,exact_hash,introduced_in_candidate,"	retval = sctp_make_reconf(asoc, outlen + inlen);",1
